Source,Content,Codes
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"(ages 9-10)
",Participant Age
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"n = 11 878
",Sample Size
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"4.0 data release
",ABCD Release
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"assessments at baseline (2016-2018) and year 2 (2018-2020)
",ABCD Time Point
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"Youths with a healthy weight at baseline (body mass index [BMI] percentile <85th37) were eligible for the study
",Participant
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"BMI,
",Covariate
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"linear mixed-effects models
",Statistical Model
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"sex
",Additional Variable
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"In the HW-WS group, being older was associated with greater RNI values but not BMI. As youths with nonstable weight gain (HW-NS) were added into the analyses, beyond any associations of age (and puberty), BMI was positively, bidirectionally, and dissociably associated with RNI values.
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"Additionally, over time, greater RNI values corresponded with greater weight gain in females. These results suggest that greater RNI values may reflect normal developmental processes33 and/or the consequences of (unhealthy) weight gain (eg, neuroinflammation).
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"Using HW-WS status, we established references for associations between weight and RNI values and age and RNI values.
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"After establishing reference associations, we observed that with varying weight gain, BMI had dissociable associations with RNI values beyond age and puberty.
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"We interpreted these associations to suggest that age and BMI have independent associations with RNI, reflecting that different causative mechanisms may exist for these associations.
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"Our results suggested sex specificity, with greater RNI values (possibly due to neuroinflammation) associated with greater weight gain in females.
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"smaller subcortical volume was associated with weight gain in females, but not males
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"Importantly, despite this sex-specific association, our results with RNI values suggest that this metric may be more sensitive to detect associations between brain and weight in males than subcortical volume
",Findings
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"RNI values
",Dependent Variable
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"age 
",Additional Variable
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"BMI (calculated as body weight in kilograms divided by height in meters squared)
",Independent Variable
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"We classified youths as having healthy-weight, weight-stable (HW-WS) status if they had healthy weight (ie, BMI percentile <85th37) and an SD of less than 1 for within-individual BMI variation from baseline through year 2. Youths with missing year 2 data were not eligible for group classification. A separate group of participants were partitioned based on (1) healthy weight at study baseline and (2) conversion to non–weight-stable status (HW-NS) during the study period. HW-NS status was defined as an individual-specific increase in BMI of 1 SD or more, demonstrated overweight or obesity (ie, BMI percentile 885th3 ), or both by year 2.
",IV Supporting Info
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"highest caregiver education (effects coded)
",Covariate
Adise-2025-10.1001_jamanetworkopen.2025.22211.pdf,"MRI motion (eg, framewise displacement)
",Covariate
